"ITEM","DESC","CONTAINER","MASS","GRADE","COUNT","LOW PRICE","HIGH PRICE","AVERAGE PRICE"
"SPIN","Spinach","Decon (5kg)","5.00","","","30","100","66.46"
"SWOR","Sweet Potatoes Orange","Bag/Packets (2kg)","2.00","1M","","12","12","12.00"
"SWOR","Sweet Potatoes Orange","BOX (6KG)","6.00","1M","","100","100","100.00"
"SWOR","Sweet Potatoes Orange","Box (10kg)","10.00","1L","","100","150","101.97"
"SWOR","Sweet Potatoes Orange","Bag (10kg)","10.00","1M","","60","60","60.00"
"SWOR","Sweet Potatoes Orange","Box (10kg)","10.00","2M","","120","150","143.48"
"SWOR","Sweet Potatoes Orange","Bag (15kg)","15.00","1L","","20","60","34.00"
"SWOR","Sweet Potatoes Orange","Bag (15kg)","15.00","1S","","25","60","43.00"
"SWRE","Sweet Potatoes Red","BOX (8 X 1KG PACKETS)","8.00","1M","","96","100","97.11"
"SWRE","Sweet Potatoes Red","BOX (9KG)","9.00","1M","","110","120","114.55"
"SWRE","Sweet Potatoes Red","Box (10kg)","10.00","1L","","15","140","64.89"
"SWRE","Sweet Potatoes Red","Box (10kg)","10.00","1M","","100","110","108.04"
"SWRE","Sweet Potatoes Red","Bag (10kg)","10.00","1M","","120","120","120.00"
"SWRE","Sweet Potatoes Red","Bag (10kg)","10.00","1S","","10","10","10.00"
"SWRE","Sweet Potatoes Red","Box (10kg)","10.00","1S","","120","120","120.00"
"SWRE","Sweet Potatoes Red","Box (10kg)","10.00","2S","","70","70","70.00"
"SWRE","Sweet Potatoes Red","Bag (15kg)","15.00","1L","","20","100","51.94"
"SWRE","Sweet Potatoes Red","Bag (15kg)","15.00","1M","","45","100","81.52"
"SWRE","Sweet Potatoes Red","Bag (15kg)","15.00","1S","","40","80","57.64"
"SWRE","Sweet Potatoes Red","Bag (15kg)","15.00","2M","","40","40","40.00"
"SWRE","Sweet Potatoes Red","BAG (17KG)","17.00","1M","","60","60","60.00"
"SWRE","Sweet Potatoes Red","BAG (17KG)","17.00","1S","","60","60","60.00"
"SWRE","Sweet Potatoes Red","Bag (20kg)","20.00","1X","","90","90","90.00"
"SWRE","Sweet Potatoes Red","Bag (20kg)","20.00","2L","","50","50","50.00"
"SWRE","Sweet Potatoes Red","Bag (20kg)","20.00","2M","","80","100","85.33"
"SWRE","Sweet Potatoes Red","Bag Red (25kg)","25.00","1L","","86","100","97.67"
"TOCT","TOMATOES COCKTAIL","PREPACK BOX","4.00","U","","120","153","125.50"
"TOCT","TOMATOES COCKTAIL","Prepack Packets (6kg)","6.00","U","","102","170","124.47"
"TOCT","TOMATOES COCKTAIL","TRADITIONAL BOX","7.00","U","","200","220","202.14"
"TOCT","TOMATOES COCKTAIL","PREPACK PACKETS (9KG)","9.00","U","","200","288","258.67"
"TOCT","TOMATOES COCKTAIL","PREPACK PACKETS (15KG)","15.00","U","","136","170","192.67"
"TOJA","TOMATOES JAM","BAG/PACKET","1.00","2R","","6","6","6.00"
"TOJA","TOMATOES JAM","B6 CARTON","6.00","1M","","40","50","46.67"
"TOJA","TOMATOES JAM","B6 CARTON","6.00","2S","","25","25","25.00"
"TOJA","TOMATOES JAM","DOMPEL JUMBLE","10.00","1L","","80","80","80.00"
"TOJA","TOMATOES JAM","DOMPEL JUMBLE","10.00","1M","","80","100","99.18"
"TOJA","TOMATOES JAM","DOMPEL JUMBLE","10.00","1S","","35","70","42.61"
"TOJA","TOMATOES JAM","DOMPEL JUMBLE","10.00","1X","","90","90","90.00"
"TOJA","TOMATOES JAM","DOMPEL JUMBLE","10.00","2M","","80","80","80.00"
"TOLL","TOMATOES LONG LIFE","B6 CARTON","6.00","1L","","30","40","35.51"
"TOLL","TOMATOES LONG LIFE","B6 CARTON","6.00","2M","","28","36","30.97"
"TOLL","TOMATOES LONG LIFE","B6 CARTON","6.00","2R","","25","30","26.86"
"TOLL","TOMATOES LONG LIFE","B6 CARTON","6.00","2Z","","35","48","36.63"
"TOLL","TOMATOES LONG LIFE","B6 CARTON","6.00","3M","","22","25","24.02"
"TOLL","TOMATOES LONG LIFE","B6 CARTON","6.00","3R","","25","25","25.00"
"TOLL","TOMATOES LONG LIFE","JUMBO B9","9.00","3L","","45","45","45.00"
"TOLL","TOMATOES LONG LIFE","DOMPEL JUMBLE","10.00","2M","","75","75","75.00"
"TOMP","TOMATOES - PACKETS","BAG/PACKET","1.00","1M","","12","12","12.00"
"TOMP","TOMATOES - PACKETS","BAG/PACKET","1.00","1R","","6","6","6.00"
"TOMP","TOMATOES - PACKETS","BAG/PACKET","1.00","1S","","4","4","4.00"
"TOMP","TOMATOES - PACKETS","BAG/PACKET","1.00","2M","","7","7","7.00"
"TOMP","TOMATOES - PACKETS","BAG/PACKET","1.00","2R","","6","6","6.00"
"TOMP","TOMATOES - PACKETS","BAG/PACKET","1.00","2Z","","8","8","8.00"
"TOMP","TOMATOES - PACKETS","B6 CARTON","6.00","1Z","","60","72","63.55"
"TOMP","TOMATOES - PACKETS","PREPACK PACKETS (7KG)","7.00","1M","","96","96","96.00"
"TOMP","TOMATOES - PACKETS","PREPACK BOX (7.5KG)","7.50","2R","","50","55","52.50"
"TOMP","TOMATOES - PACKETS","PREPACK PACKETS (8KG)","8.00","1M","","40","96","54.00"
"TOMP","TOMATOES - PACKETS","PREPACK PACKETS (8KG)","8.00","2M","","56","56","56.00"
"TOMS","TOMATOES","METRIC BOX","5.00","1M","","30","70","52.19"
"TOMS","TOMATOES","METRIC BOX","5.00","1S","","70","70","70.00"
"TOMS","TOMATOES","METRIC BOX","5.00","1X","","70","70","54.62"
"TOMS","TOMATOES","METRIC BOX","5.00","2M","","23","45","30.16"
"TOMS","TOMATOES","METRIC BOX","5.00","3M","","23","23","23.00"
"TOMS","TOMATOES","B6 CARTON","6.00","1L","","42","72","45.31"
"TOMS","TOMATOES","B6 CARTON","6.00","1M","","15","55","30.64"
"TOMS","TOMATOES","B6 CARTON","6.00","1R","","15","15","15.00"
"TOMS","TOMATOES","B6 CARTON","6.00","1S","","30","33","30.45"
"TOMS","TOMATOES","B6 CARTON","6.00","1X","","42","72","50.73"
"TOMS","TOMATOES","B6 CARTON","6.00","1Z","","30","72","36.35"
"TOMS","TOMATOES","B6 CARTON","6.00","2M","","25","40","28.05"
"TOMS","TOMATOES","B6 CARTON","6.00","2Z","","25","55","29.15"
"TOMS","TOMATOES","JUMBO B9","9.00","1M","","80","90","80.37"
"TOMS","TOMATOES","JUMBO B9","9.00","1R","","30","60","30.98"
"TOMS","TOMATOES","JUMBO B9","9.00","2R","","30","40","34.83"
"TOMS","TOMATOES","DOMPEL JUMBLE","10.00","1L","","90","120","97.14"
"TOMS","TOMATOES","DOMPEL JUMBLE","10.00","1M","","80","100","91.67"
"TOMS","TOMATOES","DOMPEL JUMBLE","10.00","1S","","40","65","53.55"
"TOMS","TOMATOES","DOMPEL JUMBLE","10.00","1X","","100","100","100.00"
"TOMS","TOMATOES","DOMPEL JUMBLE","10.00","2M","","30","60","58.00"
"TOMS","TOMATOES","DOMPEL JUMBLE","10.00","2S","","25","80","45.28"
"TOSA","TOMATOES SPANISH SANTE","PUNNET EACH (200G)","0.20","1S","","4","6","5.09"
"TRLO","TAMARILLO","Carton (5kg)","5.00","","","60","70","68.13"
"VGMS","Vegetables Miscellaneous","Box (6kg)","6.00","","","40","80","56.47"
"WBLM","Waterblommetjies","Prepack Punnet (5kg)","5.00","","","250","350","259.38"
"WOOD","Firewood","BAG (15KG)","15.00","","","75","75","75.00"
