"ITEM","DESC","CONTAINER","MASS","GRADE","COUNT","LOW PRICE","HIGH PRICE","AVERAGE PRICE"
"APBR","APPLE BRAEBURN","ECONOPACK (12kg)","12.00","1M","150","130","140","138.00"
"APCR","APPLE CRIPPS RED","ECONOPACK (12kg)","12.00","1M","165","104","104","104.00"
"APCR","APPLE CRIPPS RED","MARK 4 (18.3kg)","18.30","1L","100","260","260","260.00"
"APCR","APPLE CRIPPS RED","MARK 4 (18.3kg)","18.30","1L","110","260","280","262.86"
"APCR","APPLE CRIPPS RED","MARK 4 (18.3kg)","18.30","1M","135","100","100","100.00"
"APCR","APPLE CRIPPS RED","MARK 4 (18.3kg)","18.30","1X","90","100","260","132.00"
"APFU","APPLE FUJI","JUMBLE PACK (9kg)","9.00","2L","","60","60","60.00"
"APFU","APPLE FUJI","ECONOPACK (12kg)","12.00","1L","135","160","160","160.00"
"APFU","APPLE FUJI","ECONOPACK (12kg)","12.00","1M","120","96","120","97.95"
"APFU","APPLE FUJI","MARK 4 (18.3kg)","18.30","1L","110","240","240","240.00"
"APFU","APPLE FUJI","MARK 4 (18.3kg)","18.30","1X","80","180","180","180.00"
"APFU","APPLE FUJI","MARK 4 (18.3kg)","18.30","2M","120","240","260","241.67"
"APGD","APPLE GOLDEN DELICIOUS","JUMBLE (7KG)","7.00","2M","","20","80","45.26"
"APGD","APPLE GOLDEN DELICIOUS","JUMBLE PACK (9kg)","9.00","2L","","60","60","60.00"
"APGD","APPLE GOLDEN DELICIOUS","ECONOPACK (12kg)","12.00","1M","","140","140","140.00"
"APGD","APPLE GOLDEN DELICIOUS","ECONOPACK (12kg)","12.00","1M","150","156","160","159.27"
"APGD","APPLE GOLDEN DELICIOUS","ECONOPACK (12 * 1KG)","12.00","1M","150","140","140","140.00"
"APGD","APPLE GOLDEN DELICIOUS","ECONOPACK (12kg)","12.00","1M","165","144","160","154.07"
"APGD","APPLE GOLDEN DELICIOUS","ECONOPACK (12kg)","12.00","2M","165","144","144","144.00"
"APGD","APPLE GOLDEN DELICIOUS","MARK 4 (18.3kg)","18.30","1L","110","260","270","269.09"
"APGD","APPLE GOLDEN DELICIOUS","MARK 4 (18.3kg)","18.30","1M","120","280","300","293.50"
"APGD","APPLE GOLDEN DELICIOUS","MARK 4 (18.3kg)","18.30","1M","135","220","270","249.17"
"APGD","APPLE GOLDEN DELICIOUS","MARK 4 (18.3kg)","18.30","1X","80","150","280","202.22"
"APGD","APPLE GOLDEN DELICIOUS","MARK 4 (18.3kg)","18.30","2L","100","260","270","260.45"
"APGD","APPLE GOLDEN DELICIOUS","MARK 4 (18.3kg)","18.30","2L","110","260","260","260.00"
"APGD","APPLE GOLDEN DELICIOUS","MARK 4 (18.3kg)","18.30","2M","120","260","260","260.00"
"APGS","APPLE GRANNY SMITH","JUMBLE BOX (7KG)","7.00","2M","","20","50","36.80"
"APGS","APPLE GRANNY SMITH","JUMBLE PACK (9kg)","9.00","2L","","70","70","70.00"
"APGS","APPLE GRANNY SMITH","JUMBLE PACK (9kg)","9.00","2M","","70","70","70.00"
"APGS","APPLE GRANNY SMITH","ECONOPACK (12kg)","12.00","1M","150","84","110","85.59"
"APGS","APPLE GRANNY SMITH","ECONOPACK (12kg)","12.00","1M","165","85","85","85.00"
"APGS","APPLE GRANNY SMITH","MARK 4 (18.3kg)","18.30","1L","100","220","280","231.79"
"APGS","APPLE GRANNY SMITH","MARK 4 (18.3kg)","18.30","1L","110","250","250","250.00"
"APGS","APPLE GRANNY SMITH","MARK 4 (18.3kg)","18.30","1M","120","210","270","219.17"
"APGS","APPLE GRANNY SMITH","MARK 4 (18.3kg)","18.30","1M","135","250","260","250.53"
"APGS","APPLE GRANNY SMITH","MARK 4 (18.3kg)","18.30","1X","90","100","280","263.46"
"APOT","APPLE OTHER","BAG/PACKET","1.50","1M","","12","12","12.00"
"APOT","APPLE OTHER","MARK 4 (18.3kg)","18.30","1M","84","50","50","50.00"
"APPL","APPLE PINK LADY","ECONOPACK (12kg)","12.00","2M","150","70","84","77.85"
"APRG","APPLE ROYAL GALA","JUMBLE (7KG)","7.00","2M","","50","80","76.25"
"APRG","APPLE ROYAL GALA","MARK 4 (18.3kg)","18.30","1L","110","250","250","250.00"
"APRG","APPLE ROYAL GALA","MARK 4 (18.3kg)","18.30","2L","110","210","210","210.00"
"APRG","APPLE ROYAL GALA","MARK 4 (18.3kg)","18.30","2M","120","210","250","233.64"
"APSK","APPLE STARKING","MARK 4 (18.3kg)","18.30","2L","100","250","280","260.00"
"APTR","APPLE TOP RED","JUMBLE PACK (7kg)","7.00","2M","","40","50","41.95"
"APTR","APPLE TOP RED","ECONOPACK (12kg)","12.00","2M","120","120","120","120.00"
"APTR","APPLE TOP RED","MARK 4 (18.3kg)","18.30","1L","110","320","340","323.08"
"APTR","APPLE TOP RED","MARK 4 (18.3kg)","18.30","1X","80","60","60","60.00"
"ASGR","Asparagus Green","Single Layer (3kg)","3.00","","","300","600","415.38"
"AVED","AVOCADO EDRANOL","CARTON - OPEN TOP (4kg)","4.00","1L","14","110","110","110.00"
"AVED","AVOCADO EDRANOL","CARTON - OPEN TOP (4kg)","4.00","1X","10","100","110","102.34"
"AVFU","AVOCADO FUERTE","CARTON - OPEN TOP (4KG)","4.00","1L","12","140","160","155.36"
"AVFU","AVOCADO FUERTE","CARTON - OPEN TOP (4KG)","4.00","1L","14","160","170","162.98"
"AVFU","AVOCADO FUERTE","CARTON - OPEN TOP (4KG)","4.00","1S","22","120","140","135.66"
"AVFU","AVOCADO FUERTE","CARTON - OPEN TOP (4KG)","4.00","1S","24","130","130","130.00"
"AVFU","AVOCADO FUERTE","CARTON - OPEN TOP (4KG)","4.00","1X","10","130","130","130.00"
"AVFU","AVOCADO FUERTE","CARTON - OPEN TOP (4KG)","4.00","1X","8","130","140","134.49"
"AVFU","AVOCADO FUERTE","CARTON - OPEN TOP (4KG)","4.00","2L","12","160","170","160.36"
"AVFU","AVOCADO FUERTE","CARTON - OPEN TOP (4KG)","4.00","2L","14","150","160","153.33"
"AVFU","AVOCADO FUERTE","CARTON - OPEN TOP (4KG)","4.00","2S","22","100","130","127.00"
"AVFU","AVOCADO FUERTE","BAG (20KG)","20.00","1L","","360","360","360.00"
"AVFU","AVOCADO FUERTE","BAG (20KG)","20.00","1M","","300","320","302.92"
"AVFU","AVOCADO FUERTE","BAG (20KG)","20.00","3M","","150","200","164.81"
"AVGE","AVOCADO GEMS","CARTON - OPEN TOP (4kg)","4.00","1L","12","110","110","110.00"
"AVGE","AVOCADO GEMS","CARTON - OPEN TOP (4kg)","4.00","1M","16","60","100","61.48"
"AVGE","AVOCADO GEMS","CARTON - OPEN TOP (4kg)","4.00","1N","28","100","100","100.00"
"AVGE","AVOCADO GEMS","CARTON - OPEN TOP (4kg)","4.00","1S","22","120","120","120.00"
"AVGE","AVOCADO GEMS","CARTON - OPEN TOP (4kg)","4.00","1S","24","120","120","120.00"
"AVHA","AVOCADO HASS","CARTON - OPEN TOP (4kg)","4.00","1L","12","90","90","90.00"
"AVHA","AVOCADO HASS","CARTON - OPEN TOP (4kg)","4.00","1L","14","100","100","100.00"
"AVHA","AVOCADO HASS","CARTON - OPEN TOP (4kg)","4.00","1M","18","90","90","90.00"
"AVHA","AVOCADO HASS","CARTON - OPEN TOP (4kg)","4.00","1M","20","90","90","90.00"
"AVHA","AVOCADO HASS","CARTON - OPEN TOP (4kg)","4.00","2M","20","100","100","100.00"
"AVHA","AVOCADO HASS","CARTON - OPEN TOP (9.5kg)","10.00","2N","26","150","150","150.00"
"AVHA","AVOCADO HASS","CARTON - OPEN TOP (9.5kg)","10.00","2S","24","150","150","150.00"
"AVHA","AVOCADO HASS","BLUE/AVO STRIPE BAG (17KG)","17.00","2M","","250","250","250.00"
"AVOT","AVOCADO OTHER","CARTON - OPEN TOP (4kg)","4.00","1L","12","20","20","20.00"
"AVOT","AVOCADO OTHER","CARTON - OPEN TOP (4kg)","4.00","1M","16","60","60","60.00"
"AVOT","AVOCADO OTHER","CARTON - OPEN TOP (4kg)","4.00","1X","10","20","20","20.00"
"AVOT","AVOCADO OTHER","CARTON - OPEN TOP (4kg)","4.00","1X","8","20","20","20.00"
"AVPI","AVOCADO PINKERTON","CARTON - OPEN TOP (4kg)","4.00","1L","14","105","105","105.00"
"AVPI","AVOCADO PINKERTON","CARTON - OPEN TOP (4kg)","4.00","1M","16","90","110","92.83"
"AVPI","AVOCADO PINKERTON","CARTON - OPEN TOP (4kg)","4.00","1M","18","100","100","100.00"
"AVPI","AVOCADO PINKERTON","CARTON - OPEN TOP (4kg)","4.00","1M","20","80","80","80.00"
"AVPI","AVOCADO PINKERTON","CARTON - OPEN TOP (4kg)","4.00","1X","8","80","80","80.00"
"AVRI","AVOCADO RINTON","CARTON - OPEN TOP (4kg)","4.00","1L","12","110","120","114.78"
"AVRI","AVOCADO RINTON","CARTON - OPEN TOP (4kg)","4.00","1X","10","100","110","109.84"
"AVRY","AVOCADO RYAN","CARTON - OPEN TOP (4kg)","4.00","1L","12","115","130","125.19"
"AVRY","AVOCADO RYAN","CARTON - OPEN TOP (4kg)","4.00","1L","14","115","130","125.34"
"AVRY","AVOCADO RYAN","CARTON - OPEN TOP (4kg)","4.00","1M","16","100","130","106.98"
"AVRY","AVOCADO RYAN","CARTON - OPEN TOP (4kg)","4.00","1M","18","130","130","130.00"
"AVRY","AVOCADO RYAN","CARTON - OPEN TOP (4kg)","4.00","1M","20","120","120","120.00"
"AVRY","AVOCADO RYAN","CARTON - OPEN TOP (4kg)","4.00","2L","14","120","120","120.00"
"AVRY","AVOCADO RYAN","CARTON - OPEN TOP (4kg)","4.00","2M","18","110","110","110.00"
"AVRY","AVOCADO RYAN","BAG (15KG)","15.00","3M","","200","250","222.28"
"AVRY","AVOCADO RYAN","BLUE/AVO STRIPE BAG (17KG)","17.00","3M","","200","260","250.77"
"BALS","BANANAS - FINGERS","CARTON","18.00","1M","","100","100","100.00"
"BALS","BANANAS - FINGERS","CARTON","18.00","1X","","100","160","102.31"
"BALS","BANANAS - FINGERS","CARTON","18.00","2X","","140","140","140.00"
"BANN","BANANAS","CARTON","18.00","1L","","140","180","158.08"
"BANN","BANANAS","CARTON","18.00","1M","","120","160","139.47"
"BANN","BANANAS","CARTON","18.00","1X","","100","200","163.90"
"BANN","BANANAS","CARTON","18.00","2L","","100","160","134.00"
"BANN","BANANAS","CARTON","18.00","2M","","100","130","106.79"
"BANN","BANANAS","CARTON","18.00","2S","","100","100","100.00"
"BANN","BANANAS","CARTON","18.00","2X","","100","180","151.62"
"BCMI","Broccoli & Cauli Mix","PREPACK PACKETS (4KG)","4.00","","","100","140","108.10"
"BCMI","Broccoli & Cauli Mix","Prepack Punnet (5kg)","5.00","","","100","120","103.33"
"BCMI","Broccoli & Cauli Mix","Prepack Punnet (5kg)","5.00","","10","100","140","110.14"
"BCMI","Broccoli & Cauli Mix","Prepack Punnet (5kg)","5.00","","16","192","192","192.00"
"BCMI","Broccoli & Cauli Mix","Prepack Punnet (5kg)","5.00","","7","70","70","70.00"
"BCMI","Broccoli & Cauli Mix","Prepack Punnet (5kg)","5.00","","8","72","120","85.12"
"BCOC","Broccoli","PREPACK PACKETS (4KG)","4.00","","","90","120","93.70"
"BCOC","Broccoli","Prepack Punnet (5kg)","5.00","","","20","220","49.39"
"BCOC","Broccoli","Prepack Punnet (5kg)","5.00","","10","100","150","119.72"
"BCOC","Broccoli","Prepack Punnet (5kg)","5.00","","11","120","120","120.00"
"BCOC","Broccoli","Prepack Punnet (5kg)","5.00","","12","80","80","80.00"
"BCOC","Broccoli","Prepack Punnet (5kg)","5.00","","15","120","120","120.00"
"BCOC","Broccoli","Prepack Punnet (5kg)","5.00","","20","120","200","140.89"
"BCOC","Broccoli","Prepack Punnet (5kg)","5.00","","8","64","110","65.69"
"BCOC","Broccoli","PREPACK PACKETS (6KG)","6.00","","","80","240","124.44"
"BCOC","Broccoli","Prepack Punnet (10kg)","10.00","","20","180","180","180.00"
